epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
45.0,0.0001,-358622.8428942579,214967291.0878198,50448.97294807411,-3854398.5104539692,3102583.1193837374,216242.347106229,17695.020121703128,-3099908.3837217093,147476.3107161829,21751601.009310722,40371.30962228775
46.0,0.0001,144967.05479142652,216107507.45143223,50433.31282825,-3484564.965402931,2741139.168482989,225599.54883284864,66279.33100853539,-2738937.912725061,141440.51841103935,21830131.06514263,40369.42863303423
47.0,0.0001,846095852.4367542,215217229.85212946,50435.378316590795,-3108433.746559754,2429939.6179694757,222296.0060254456,84655201.57362308,-2455194.3817374706,156000.76812279134,21711274.28443241,40368.06215173006
48.0,0.0001,145358.66987587354,216223329.8350551,50405.76579381921,-5065437.369289622,4322660.016080692,648634.5638811908,23950.147350864085,-4325047.240259208,222709.92048755108,21992200.39646721,40366.31875401735
49.0,0.0001,14982244.159070035,216381491.2885151,50414.329583128914,-3272291.512528464,2570676.091139056,513180.4625604459,1517067.9244428545,-2607199.6696086824,181622.27613651782,21840341.835158348,40365.03989493847
50.0,0.0001,38680032.262113445,213438186.06032348,50405.85377900186,-6176378.778887749,5457575.530189931,402178.43945419206,3899665.753650815,-5443341.444918066,250228.78907432326,21822765.924329758,40363.95336151123
51.0,5e-05,-481616.33588152495,206530395.36371994,50416.8143283173,-2531046.820512414,1753210.6637847424,146989.19063631538,14923.063102910583,-1753700.9148643017,123804.23066426076,20775679.90335512,40349.30041909218
52.0,5e-05,-468574.0852761315,206931221.40363693,50430.54940611415,-1762872.1370113492,982891.5083298683,164247.82601963656,14715.871714393073,-982603.3918222785,123072.08559920007,20738730.728507042,40344.54811859131
53.0,5e-05,-489429.2003630921,209365296.4575615,50372.560208474635,-1516877.9567497969,719974.5002432168,158351.63807667693,14912.261999222466,-719602.3618814647,136964.53671569136,20954450.621162415,40342.81458580494
54.0,5e-05,-467478.79326094873,209263923.8886032,50377.72546418954,-1419731.990137715,624797.949584432,136781.7927889698,19067.345769205753,-624419.8051677309,119979.09349712076,20936495.275351048,40341.19296121597
55.0,5e-05,-440926.4733279692,208025208.36796713,50406.67811694974,-2192809.1483566016,1406406.529189676,164593.27538852452,18088.287382250408,-1405585.2257463038,138312.05835705498,20888907.604459286,40340.55199241638
56.0,5e-05,-510373.50254577026,207129716.37807012,50422.69164335984,-1735516.6049371585,940719.5744249374,136905.894782867,14751.763682464541,-940403.1525421292,119978.97876418644,20754675.18778515,40338.870503127575
57.0,5e-05,-505421.9218413043,209312531.49204063,50368.67256487126,-1777513.3533735871,973587.7325563654,150183.8574555021,14831.984558525846,-973210.234314166,142404.07238590997,20973996.094634056,40337.675623714924
58.0,5e-05,-505180.37564673834,208710067.32199097,50406.23814496142,-1433051.81911996,635561.8907055184,144562.38627031737,14774.716922688354,-635109.4789399058,123036.6863577012,20881878.016524315,40335.989112496376
59.0,5e-05,-509130.70333046024,207987019.4764452,50380.56504715537,-1612034.0208213702,822801.6864242405,130197.96550571593,14990.36688919504,-822186.1875486039,119417.2880852628,20828642.82051468,40336.014816343784
60.0,5e-05,-495787.58729256596,208498647.5616703,50384.04506827111,-1391411.3896280825,594972.6833164319,152389.16159248663,14826.196101953949,-594376.449694924,128273.0998695153,20856140.591953278,40334.49087071419
61.0,5e-05,-517629.9967530598,207473539.59114647,50388.992539432365,-1538673.0486303642,744851.9271221273,126342.65373736361,14984.847426530563,-744080.1530326903,121264.84345574016,20769302.184995174,40333.30714786053
62.0,5e-05,-496044.38308981666,206854430.63714588,50433.24316663854,-1562604.389106691,773251.5994802862,142894.261576281,15041.414745440434,-772182.4012521654,124742.04253295485,20709854.709358215,40332.38953822851
63.0,5e-05,-510859.9798834715,207865305.1794052,50429.27662243112,-1320771.823799543,527961.066332221,133253.61645288917,14869.716482845106,-527252.1113730203,125502.9200790956,20786373.72468424,40331.717260956764
64.0,5e-05,-523508.4143422898,208707527.17611504,50384.58849781542,-1343000.4308915138,541919.7133892365,128578.91692988841,14899.33890364843,-541501.8326813057,118349.37446568893,20872737.31837225,40330.634717702866
65.0,5e-05,-520048.05787599366,208523950.5215168,50409.35861964885,-1393697.1030000933,593765.7099272162,131634.3916330013,14824.894661382441,-593268.4737043083,122286.81576369608,20859163.618054867,40329.6007977128
66.0,5e-05,-504586.22682994604,205868692.85525513,50431.80568101251,-1434167.7952518463,646783.4359426349,136093.558113762,14670.457650361257,-646140.8840057477,129306.70443583908,20598223.584103107,40329.11254417896
67.0,5e-05,-504233.7145072073,207414385.3480568,50415.3770273648,-1066697.3380312584,274917.02020153776,132706.5215626727,15484.008489112919,-274303.9258268364,120787.95286171456,20716462.152977467,40327.980457663536
68.0,5e-05,-492938.25545572117,208121066.28471756,50392.86401230004,-1147746.2348705158,351116.8772987686,155842.82294725656,14784.82809736062,-350831.1414767392,125684.51234874388,20794293.753813267,40327.539100050926
69.0,5e-05,-514108.0302536213,207409947.21432877,50419.050773655414,-1201163.257803455,405533.04595201835,133793.56157984113,14772.862286017595,-405012.37480073795,126295.73071608029,20728539.761580467,40326.61917001009
70.0,5e-05,-513442.2592495568,206584566.43858337,50419.9133348749,-1197161.3894810528,402896.33021248877,133917.31831195074,14690.548432603182,-402301.0828623548,119188.51186243322,20646441.433314323,40326.462460041046
71.0,5e-05,-520787.81611059606,207821543.67793846,50395.01216206653,-1186002.4162742496,388406.469359912,128673.58116970361,14813.455285186337,-387861.09728565067,119068.30089524771,20768708.734952927,40324.9053132534
