epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
13.0,0.0002,17875409.922875315,373517413.4376662,76132.39148136508,-6945119.970031947,5878142.890101194,5384282.580298809,1355810.385065265,-5896234.7541776,6150307.186066191,37265132.26694584,61201.81723123789
14.0,0.0002,409021779.1716953,364689324.6042843,76133.96813874599,-10195203.45491603,9308978.217762038,1656734.350267582,40825126.963108465,-9308190.30592376,596834.2703702882,37278877.85108471,61190.21041846275
15.0,0.0002,820146977388.6038,377861775.26855135,76127.31205358729,-335045.00467826426,-658558.7672107369,2342221.4918924426,82014557807.86478,1268372.2176057994,963083.7030320858,37501845.56322479,61186.37041306496
16.0,0.0002,17007686220.330984,377180137.055953,76111.59349373076,1675569.6738188863,-2165948.882528782,3231518.7266785065,1700494466.0933785,1112891.3705052733,1563036.507874821,37389244.96541786,61175.95592480898
17.0,0.0002,7678475422.300184,357551118.30790365,76114.00599253736,-15870757.375701308,15088356.933614433,5055555.205588407,767420215.0739468,-14841219.570789456,1896784.9140891219,36988392.078538895,61163.218812823296
18.0,0.0002,1465980929.191251,372067298.4228836,76091.54368446488,-770127.3879328966,-118835.42308932543,1629994.0510833235,146523990.3039452,82410.8853585422,719213.5621019779,37065413.418209076,61153.97907394171
19.0,0.0002,11195096969.349426,355318138.37520146,76102.19647623599,-15957117.464006722,15352490.758912206,2275006.8823711835,1119342708.9074879,-14709510.820093453,587536.0275169075,36882867.59590435,61143.72365027666
20.0,0.0002,1439741882.3350139,377151617.68929493,76102.36391668022,7776853.147855222,-8524950.813172638,2839131.0706023886,143765082.61860064,8648024.222426832,1152116.4365711648,36674011.31563473,61136.39756137133
21.0,0.0002,83096415.89946221,359411342.08687353,76081.69202260766,-9376717.425222814,8649194.961965382,6325590.185091217,7749834.911177855,-8628976.784945726,1422204.6945360675,36600683.44578266,61127.969656050205
22.0,0.0002,77587506928.88075,377402154.6506479,76148.56020110939,7799825.59755373,-8319847.893718302,3023816.36003644,7758500472.668184,7903999.345675051,855597.3562274973,36803085.31788635,61170.47781729698
23.0,0.0002,604416046.8797593,364048463.70430934,76118.77893538773,-3028303.1496747434,2323935.5961798728,2029181.266424566,60309121.64549271,-2344455.827842653,1085024.5124309917,36469675.20454502,61114.28966987133
24.0,0.0002,1055852055.7910215,362366695.9380989,76108.3217582861,-4086050.4595065117,3560711.247060895,3359527.905062069,105301787.45081322,-3149446.396282494,1155908.45704226,36374912.10194397,61111.29368454218
25.0,0.0002,41755633763.62781,353171210.00904024,76104.1148280343,-12389530.363656998,12097345.390558481,6811030.28244569,4174911543.51051,-12462446.999848485,2261099.32376314,36276156.155742645,61099.61622321606
26.0,0.0001,1795603.4662423595,335323375.8127034,76078.608237423,-8802140.572011083,7874237.119655311,2088653.9024034601,63485.30605671876,-7872849.265958339,702465.637851419,34188310.59107113,61065.35611450672
27.0,0.0001,3165844.2540356577,339931725.52618325,76062.64431988914,-4721256.525218606,3791067.175806612,1784041.2746121879,231199.2320106724,-3778624.857568413,825415.6953581247,34227434.4843564,61058.98510545492
28.0,0.0001,12737586.378715875,347671374.7798878,76065.34235444572,2557544.934153095,-3545559.3153113574,2526588.297212902,1119901.2461844485,3538939.8050846905,710916.1552263957,34281104.20001507,61047.685067117214
29.0,0.0001,2586602.872277564,342936838.3717965,75980.4967792863,-3000380.8338327557,1999806.7561228573,2751892.671805196,83528.42825081444,-1993241.7881630212,1045179.7465358546,34327440.68877268,61049.356634795666
30.0,0.0001,688843.9264801117,341070321.2438991,76045.93515617866,-981447.7158307657,-62568.79770935327,1189631.1963574188,54322.92469209223,68657.66553157568,615861.4678627558,33977537.31044626,61042.900304853916
31.0,0.0001,109485100.25770342,337445124.202878,76067.04556215415,-6355802.119344518,5380997.176798835,1714133.1741584747,10874577.354695903,-5348517.003576525,821741.8507843409,34136154.354902744,61035.57448917627
32.0,0.0001,1751959.0924157156,344448350.891515,76005.48679399118,-1460646.5471656695,416364.8166366592,2297383.2698764983,49885.756662720036,-411493.49941635877,1094785.6353801433,34315469.91736174,61035.96418225765
33.0,0.0001,2896837.8196011265,344414585.99310553,76014.00240519457,-87167.05924327672,-934506.3273335248,3401803.758798887,51670.7414748566,939907.1115170494,1194854.9062255935,34166952.70938301,61029.690049767494
34.0,0.0001,1382954.3132084797,341685729.5819125,76045.37756859465,-1827495.496989429,799498.459088102,1478820.6718903885,93213.06903168038,-796630.8450631574,458464.4526771315,34141363.37336779,61026.22369450331
35.0,0.0001,2941484532.589816,342468822.0673256,76060.52437536046,422430.8234709054,-1343255.7323328182,2520897.4966108287,293988429.5358567,1333312.4235657454,816552.6467803187,33970872.46541643,61023.23115116358
36.0,0.0001,5247085.673388969,346521752.5684223,75975.83071806887,147812.70874927565,-1168410.9064305797,2126440.6275756243,414124.32484287274,1176972.307850115,1124438.490691724,34361013.18924475,61021.00109064579
37.0,0.0001,3555249.958138199,338811115.6104398,76041.1867090268,-4080435.1567577794,3056970.3991559,3106723.575201298,147199.11222092097,-3053452.0190209597,974134.7271997645,34028023.025876045,61020.28073096275
38.0,0.0001,1135182.6024902489,342360233.57331717,75985.07956222957,-1211140.5459271967,120487.61291189492,1667942.6119177942,55789.28880988369,-116945.58247258887,388134.05727125506,34147886.34390402,61018.159494161606
39.0,0.0001,210602091.00481698,341075643.27630436,76020.21361022163,-1904923.0986055546,857859.3426973075,1316279.609252182,21033285.991942115,-825653.6085343212,405997.9100775139,34088520.62190294,61009.28515148163
40.0,0.0001,1561193.2812514144,343099899.3035555,75997.7036453993,-885132.2026811987,-195470.22190773487,2178874.7801557803,46292.095113543255,200836.3587156348,1108497.299961734,34118047.37155008,61009.21097636223
41.0,0.0001,15809330.398599898,344484546.32921386,76033.59131987486,628549.9116306007,-1678954.7565146536,7966735.952477815,889299.9316366373,1685702.0782713667,2900979.2539129397,33928783.92913866,61002.583014428616
42.0,0.0001,922334.9581730727,338934554.6063498,76034.57517552469,-2093772.2674981505,1000765.7476099432,1421388.817063341,59395.26497981289,-1004098.4148392081,516024.4979203726,33881262.967012405,60999.88055104017
43.0,0.0001,199426.80382227481,341135515.28633,76000.7412730814,-1247073.5299480204,135931.16423652694,933253.3366043204,37731.58383189391,-131783.98401500285,441356.31825020537,34021592.9992733,61001.30018609762
44.0,0.0001,30675.386077656032,337059632.8002815,76017.73513070354,-2056314.6556630917,930437.920847021,864940.8663073523,29161.124403257483,-925654.5755157173,307461.98243418045,33706788.80173397,60993.73900222778
45.0,0.0001,517978.21021698066,338299619.73532593,76030.0091796564,-2142351.609428387,1049205.5347283632,1059075.2037419165,55204.90971910452,-1050192.7750092894,459064.5782946619,33828081.46795416,60993.32150065899
46.0,0.0001,8531449.613147145,339619736.4138684,76016.27964288695,-1029439.2297720984,-35256.532689131796,3051271.858016769,654487.349889946,52176.535099469125,792224.5863521877,33816545.31974554,60988.216225504875
47.0,0.0001,876684.6837530176,338152097.1247008,75996.50860042032,-1289618.374108933,200571.01240427792,1615779.3105264495,34995.27557830099,-199543.21920820698,588020.0024482498,33715373.467907906,60988.56638431549
48.0,0.0001,288124106.2217647,340248320.6492635,75972.90748525131,-2416319.1960911565,1342976.3894552272,1302280.1513191112,28789519.40568879,-1342341.6675652526,373110.3452996473,34060766.773370266,60988.4146579504
49.0,0.0001,532205.0595043724,342218327.23002315,75969.15711780544,-735805.9158781581,-394547.41307420656,1306276.6855697003,35628.16959318599,399458.10613162816,527675.3131887867,34068133.38383055,60985.989809930325
50.0,0.0001,882894.0807631749,340778153.8711871,75973.22734978888,-1114234.4618135914,-10496.950798224658,1378716.796929442,62890.866405098175,14431.835413016379,410212.037321249,33974367.59798288,60983.40429908037
51.0,5e-05,-718384.4106435734,329557991.75717163,75960.3733212864,-1385686.0130871423,168481.20659448951,257386.1966953429,24143.419952431308,-168212.19358736835,211867.543385136,32890467.376585484,60966.26400047541
52.0,5e-05,-730683.015219591,328283316.58994293,76004.90475247242,-670049.1539110169,-538058.2104537189,235328.4584620363,24209.589116249314,539275.7219988108,183756.3464014493,32695069.519385815,60958.932048141956
53.0,5e-05,-130210.79016534018,329536183.6031121,75980.31165515771,-609423.7888128087,-594011.0712352172,805881.0400192959,26734.303128580676,595353.0727393627,439416.8053255519,32789184.28063059,60957.095547795296
54.0,5e-05,-660395.8029132646,327912855.15359116,75981.92743781535,-440181.7925044596,-769820.6591353118,309066.36838236847,24054.02822610702,771776.2110303119,195481.5158057142,32633603.814410686,60955.922922849655
55.0,5e-05,-372983.40688516403,325563323.9039326,75988.13883221801,-967307.4250963815,-226545.5655780062,560564.9825479228,26030.46037890637,227751.87782030553,254196.6158003344,32447179.272612095,60958.27665942907
56.0,5e-05,3134912.8660966894,327285360.18084717,75956.46467443788,-492152.6344167292,-675347.7866653949,260872.13685464143,404154.1104709502,678356.8354576938,217000.93523600177,32578045.66684532,60954.57313024998
57.0,5e-05,-323733.4977665341,324752056.41864085,75944.7086975216,-1067898.6268117651,-95687.29660225287,499021.4926107446,34083.09446153496,97495.90722175688,225749.29805239654,32381930.526295185,60950.592287898064
58.0,5e-05,4787868.17037173,322862532.57150984,75936.1872971286,-2205206.23938901,1053785.5839451477,880389.8821155636,505889.88340840227,-1052772.7483063787,457283.2485887932,32284857.369718075,60944.843554735184
59.0,5e-05,1455697.7326303236,320645988.9542532,76000.01618172275,-1438307.121290706,276316.70649216324,689708.7363641155,192797.9397607329,-274683.179644227,365776.74580467056,31994550.065027237,60939.46832281351
60.0,5e-05,1657267.9101493235,322668682.7055044,75982.3286939594,-1041302.6134754978,-117770.49045993388,782749.9328447717,203359.10918853385,120094.11656880379,293565.8079139206,32164570.10832739,60932.16949516535
61.0,5e-05,3399769.7783617666,321628777.0185852,75968.00482946308,-607731.1306712404,-526507.6217352971,551517.8673743658,398249.07709799043,520929.6900073737,247789.41625468864,32025076.76093054,60929.024731993675
62.0,5e-05,-269563.92626416776,320034553.5328182,75966.89815024077,-1412573.129467912,266932.2069684565,438041.1786135852,43803.58107160881,-265005.4208368808,261274.85006005486,31942903.432776928,60924.97222471237
63.0,5e-05,2243936.7961661043,321726469.02354383,75946.60996973864,-744688.5669025928,-317618.09816102684,1068625.5552179026,223761.79196025847,308404.0434780717,370235.0365724065,32043859.68565464,60923.31856197119
64.0,5e-05,-372106.08252956544,320720562.22326064,75958.06641445542,-875023.3711471893,-286188.96732755005,488337.80850340816,30076.845096459718,287292.54198905826,217433.31977843115,31960663.57261753,60920.07098066807
65.0,5e-05,-310611.7556267008,318030984.9117007,75977.1073251341,-1518786.2610467877,365942.20541819185,521897.4118860804,32033.489086470254,-363285.88646782935,281286.8391138073,31750383.289461613,60915.09823822975
66.0,5e-05,-328697.8094617915,318972094.49829316,75937.66418537614,-1742345.9194765836,584327.4972468615,503949.0537883366,32537.154977265534,-582458.3631955087,215891.31865909856,31872953.726670742,60912.432720303535
67.0,5e-05,63419.97353243036,320803513.67353773,75937.1376267809,-1684575.781175971,567803.4166502729,652302.8876732234,52788.94488685361,-565046.0006477535,336634.127699657,32042279.884387016,60912.673526108265
68.0,5e-05,-543112.375209573,319785724.61543274,75938.86326363473,-1074878.6109735146,-87343.79610157013,338442.6701985893,28066.735982599654,88433.82040686905,212269.53628993974,31887591.88381958,60910.242871165276
69.0,5e-05,-332652.4837287393,318922842.3799362,75945.5841819034,-810684.3090992197,-339492.2921062559,433123.2412496386,38440.08798677395,342141.2310213521,234164.20508649017,31773748.363501072,60905.336878597736
70.0,5e-05,-348826.8623804015,318925236.7701702,75925.21006661141,-332243.141460754,-811509.1968897134,406557.8191169397,38836.7655853099,814203.2392702699,264689.53109665884,31723730.55637455,60903.840468764305
71.0,5e-05,36428.66892693924,317588670.748019,75957.43051521992,-1711162.5656130575,626467.4797615968,543164.8672869564,57795.88862767536,-627112.8226542398,277494.9582147739,31732927.264451027,60901.58729356527
72.0,5e-05,-354771.6907477089,319381385.44325256,75897.29834306135,-1651290.9189878553,498903.24571139365,498042.39535726927,29957.358427766074,-496534.4468204081,242429.87887863463,31902646.275426388,60902.727564275265
73.0,5e-05,-390761.0083437303,318689045.449018,75922.20333887776,-1517732.8564422643,352685.70576473325,323275.3485056438,45101.07973945131,-352343.07329021767,236475.06633339415,31819593.09098196,60898.248957931995
74.0,5e-05,-617902.8247919916,319413649.6839714,75912.48872744245,-1239013.2058119662,60230.17115569115,285645.84458149236,27523.436489028594,-58791.60462112725,188996.40141654634,31867447.807244778,60896.68088746071
75.0,5e-05,-610343.9692865128,317997249.49845505,75898.00696191378,-1032028.0906180572,-145827.2053612247,309721.6539803534,25778.967528792735,147179.25087319314,202102.48715284572,31703904.38408041,60892.38985949755
