epoch,lr,batch_score
0.0,0.0001,0.5483828779268388
1.0,0.0001,0.5492872917614093
2.0,0.0001,0.5490096040420908
3.0,0.0001,0.5493103430200931
4.0,0.0001,0.5488832424342944
5.0,0.0001,0.5491613517897254
6.0,0.0001,0.5482470035127348
7.0,0.0001,0.5482977181119699
8.0,0.0001,0.5494673134055434
9.0,0.0001,0.5485022907361353
10.0,0.0001,0.5486131113303767
11.0,0.0001,0.5486258561938006
12.0,0.0001,0.5491237419361545
13.0,0.0001,0.5494891633490812
14.0,0.0001,0.5489358261511467
15.0,0.0001,0.5488413814864035
16.0,0.0001,0.5488826784960079
17.0,0.0001,0.5489665074275983
18.0,0.0001,0.5484310332180116
19.0,0.0001,0.5489302038473772
20.0,0.0001,0.5490101660342821
21.0,0.0001,0.5491202913336736
22.0,0.0001,0.5489636734796861
23.0,0.0001,0.5493383334782016
24.0,0.0001,0.5488988969164992
25.0,0.0001,0.5487853394505497
26.0,0.0001,0.5486634985544557
27.0,0.0001,0.5489016508237027
28.0,0.0001,0.5485734984392138
29.0,0.0001,0.5488663856042854
30.0,0.0001,0.5490064176911204
31.0,0.0001,0.5488918968502701
32.0,0.0001,0.5485440264571322
33.0,0.0001,0.5486141375446171
34.0,0.0001,0.5486940265029749
35.0,0.0001,0.5487272573922986
36.0,0.0001,0.547841869372344
37.0,0.0001,0.5480735560732012
38.0,0.0001,0.5484394269233955
39.0,0.0001,0.5483491879808895
40.0,0.0001,0.5483311150031699
41.0,0.0001,0.5481964054231583
42.0,0.0001,0.5486651312262697
43.0,0.0001,0.549072134989845
44.0,0.0001,0.5485243335672947
45.0,0.0001,0.5488820301868519
46.0,0.0001,0.5489335620053029
47.0,0.0001,0.5489002711195421
48.0,0.0001,0.5487692960743661
49.0,0.0001,0.5484880879829752
50.0,0.0001,0.5485186490022177
51.0,0.0001,0.5488503000171175
52.0,0.0001,0.5488953233705973
53.0,0.0001,0.5493927765273077
54.0,0.0001,0.5490725975747859
55.0,0.0001,0.5487106772531948
56.0,0.0001,0.5482993177467141
57.0,0.0001,0.5493022050909533
58.0,0.0001,0.5484027994888871
59.0,0.0001,0.5485834814955158
60.0,0.0001,0.5486142550413082
61.0,0.0001,0.5491456153661322
62.0,0.0001,0.5491300725535951
63.0,0.0001,0.5490529278884769
64.0,0.0001,0.5489019338825892
65.0,0.0001,0.5489541487436821
66.0,0.0001,0.5482830715191737
67.0,0.0001,0.549402153124589
68.0,0.0001,0.548955048452217
69.0,0.0001,0.5492023905461105
70.0,0.0001,0.548972171172897
71.0,0.0001,0.5488720916917358
72.0,0.0001,0.549107774403265
73.0,0.0001,0.5490313637981814
74.0,0.0001,0.5489578893890316
75.0,0.0001,0.5484655075725257
76.0,0.0001,0.5491964942382263
77.0,0.0001,0.5488513181136251
78.0,0.0001,0.5488745971105594
79.0,0.0001,0.5488604108209412
80.0,0.0001,0.5489806683621719
81.0,0.0001,0.5490610081256764
82.0,0.0001,0.5489223757984827
83.0,0.0001,0.5489333472174348
84.0,0.0001,0.5487452842002207
85.0,0.0001,0.548925371982065
86.0,0.0001,0.5491205597974389
87.0,0.0001,0.5487142824659718
88.0,0.0001,0.5486775420536197
89.0,0.0001,0.5488478418213524
90.0,0.0001,0.5492308207721878
91.0,0.0001,0.5489627202646272
92.0,0.0001,0.5491376815783435
93.0,0.0001,0.548299352361031
94.0,0.0001,0.5486158857410041
95.0,0.0001,0.5488021456191473
96.0,0.0001,0.5494904486039935
97.0,0.0001,0.548781120583981
98.0,0.0001,0.5494578220128334
99.0,0.0001,0.5488210632745711
100.0,0.0001,0.5493790621002685
101.0,0.0001,0.5494995651523623
102.0,0.0001,0.5491926793506953
103.0,0.0001,0.5492267152090003
104.0,0.0001,0.5491931979633666
105.0,0.0001,0.5490445569508345
106.0,0.0001,0.548785025309135
107.0,0.0001,0.5488894740564323
108.0,0.0001,0.5492529851081611
109.0,0.0001,0.5489034986547849
110.0,0.0001,0.5485401760860525
111.0,0.0001,0.5484768411485873
112.0,0.0001,0.5490187171718408
113.0,0.0001,0.5489586123171634
114.0,0.0001,0.5486578460475989
115.0,0.0001,0.5485796921770025
116.0,0.0001,0.5486942223977674
117.0,0.0001,0.5485992771547217
118.0,0.0001,0.5488678572961118
119.0,0.0001,0.5486814233440641
120.0,0.0001,0.5487887750146238
121.0,0.0001,0.5486005296884716
122.0,0.0001,0.5493209741550014
123.0,0.0001,0.5487892532088466
124.0,0.0001,0.5489361570216749
125.0,0.0001,0.5480994647348726
126.0,0.0001,0.5494453644478369
127.0,0.0001,0.5486307313335408
128.0,0.0001,0.5481940447596447
129.0,0.0001,0.5483962006525975
130.0,0.0001,0.5485005019521634
131.0,0.0001,0.5492270354388528
132.0,0.0001,0.5483983806916698
133.0,0.0001,0.5489627022798838
134.0,0.0001,0.5490263084535518
135.0,0.0001,0.5487570574165832
136.0,0.0001,0.5484845676231908
137.0,0.0001,0.5483929115528797
138.0,0.0001,0.5490209594271473
139.0,0.0001,0.5487341662796275
140.0,0.0001,0.5490046827637596
141.0,0.0001,0.549208882279153
