epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
15.0,0.0002,-644691.1105061695,312797431.7984009,11111.998468703097,-1271054.148640506,52467.08381948434,128244.10739027525,44565.18447217596,-50209.163760954514,124370.60719522461,31260541.11559677,11785.93163305521
16.0,0.0002,-789929.5781558864,312802633.9680786,11062.129487214588,-1442672.604145281,214878.58466934785,123571.59499663426,31429.284616178207,-213043.7824101504,122754.99894347787,31277570.391918182,11721.893123745918
17.0,0.0002,-791918.2135548806,313013800.8969116,10961.786038426262,-1439020.4909489155,210945.41114669852,122720.48459738538,31343.638146643112,-209130.37384054903,122921.74498648942,31298415.615242004,11585.34551280737
18.0,0.0002,1311754.8008648204,311907187.7402344,10892.628231680643,-1080137.2294241637,-120735.44249150343,127964.61247874104,238466.27463043056,122362.87997605279,126479.06558264606,31154299.663108826,11534.941578388214
19.0,0.0002,667189.6959005427,314258909.0770569,10829.931287428084,-573324.2048440054,-628478.4387025945,131142.57835878106,173784.9746897967,630982.0383096552,127927.11604518304,31338556.42088318,11443.577078521252
20.0,0.0002,-770078.1464830346,312135491.6118164,10782.352685342776,-1033619.6578746364,-174190.62518545985,126072.3299385835,31165.98061834923,176160.76421615854,125878.27061253041,31171952.691734314,11392.573457479477
21.0,0.0002,-790562.1954235584,311663562.51608276,10751.816792062673,-1428105.2889188603,204670.4566501677,122213.04559936849,31065.959132509088,-202809.79841968045,124844.26838231087,31162820.88471985,11331.918105721474
22.0,0.0002,-801523.9565679077,313544898.3208618,10678.845499747626,-1459311.1912869215,221094.12548752874,121757.23520685275,31493.587486626813,-219260.67923582532,124592.37050061673,31352724.48695755,11232.1735830307
23.0,0.0002,-794886.3011234545,312478234.5120239,10610.885705859222,-1435310.5175282285,206519.7299348917,121933.32326415442,31197.116307935412,-204754.15143325832,124311.21959254146,31244698.96388626,11168.777938723564
24.0,0.0002,-792900.6472661197,312067092.60961914,10571.961652474622,-1453705.7958183587,225981.18721535988,122172.26211585516,31265.1698746189,-224103.0876712259,124577.47503887117,31205569.019687653,11092.79912519455
25.0,0.0002,-794094.0570869036,312959294.9142761,10534.556819023477,-1454476.2567875236,222662.49387244973,123023.74532728137,31469.596101160332,-220764.2850743346,125936.01476493478,31294370.374435425,11041.950701594353
26.0,0.0001,-817486.2492560036,312156292.84262085,10328.854190178092,-1455104.552648127,206932.8416427765,117903.62101250302,31278.184060566495,-205956.35988753475,126497.27353394032,31212715.559375763,10859.640213906765
27.0,0.0001,-815878.1623812737,311738338.6257019,10265.776040272456,-1456246.4197660536,211551.5361095313,117045.15906789522,31177.15626765937,-210597.29286112823,126475.32937648892,31171465.522769928,10780.554759085178
28.0,0.0001,-816725.0266522877,311428304.2152405,10245.032794298331,-1455074.0375749469,209265.06402565725,116844.24549065556,31223.97014593606,-208159.41627713852,127604.71953469515,31140167.40163803,10718.502936244011
29.0,0.0001,-815308.0609235633,311141978.87179565,10180.60989411549,-1472635.0492321253,226132.15612950362,117370.90025208416,31382.393221078586,-225021.3681826722,129250.430416435,31113107.9290123,10667.068659424782
30.0,0.0001,-819104.9744930714,311695082.76412964,10135.486602397104,-1480738.9518561512,228945.1652650945,117207.66930286001,31548.11434376905,-227834.9253246095,129035.12529227138,31168808.40857315,10579.863644063473
31.0,0.0001,-622502.8038966032,311397110.9246826,10047.639110734137,-1199966.051634267,-34257.14419063553,120385.07945343295,49133.530762617476,35392.76328655705,126655.83533869684,31112994.804424286,10511.440409600735
32.0,0.0001,-243042.67111095088,311774869.61364746,10021.353536050809,-1060547.951892972,-166845.6629474163,120931.33939756642,86341.96220024853,167927.36938706972,125220.06532883644,31137714.84977722,10457.374351382256
33.0,0.0001,-742118.1505823375,311445704.2688904,9993.739388223139,-1111952.2545699999,-117994.326015573,120242.17608895438,36758.62563645876,119048.53906107321,126005.98173762765,31109646.669895172,10418.310525655746
34.0,0.0001,-812735.0267732702,312169364.04577637,9939.010191226067,-1443534.72506845,199912.83688322082,117262.01299287457,31362.48479114327,-198995.06716388464,123979.8704098463,31214093.710479736,10344.211152791977
35.0,0.0001,-813519.5425278395,312213117.7458191,9878.370089666627,-1447107.5919251442,203491.22215406597,117115.99565138659,31298.083119494964,-202587.01524003968,123667.1208383441,31218912.046920776,10291.728373527527
36.0,0.0001,24821125.07262065,313000948.7003021,9873.896919250166,-531995.5776024908,-666096.0396746714,131378.56888513858,2588783.8499159142,668224.5070785284,133726.2344599723,31209663.42134857,10236.368777275085
37.0,0.0001,-767137.9412867464,311291407.7718506,9844.994630513116,-1345240.494206965,114179.67900823243,123214.26999752394,34070.86033145717,-112978.23769823276,126418.45703676343,31117602.403461456,10194.348089575768
